1980–1996,1997–2002,2003–2007,2008–2011
años (17.6),años (18.0),años (22.4),años (22.0)
dos (16.9),millones (16.6),millones (16.0),dos (16.2)
si (14.5),si (15.5),colombia (15.9),dijo (15.2)
millones (14.3),dos (15.4),si (15.3),colombia (15.2)
país (13.6),colombia (15.2),dos (15.1),pm (14.8)
dijo (13.5),año (14.9),país (15.0),si (14.6)
colombia (13.2),país (14.7),año (14.6),país (14.5)
gobierno (13.0),ciento (13.8),pm (12.9),millones (13.3)
ciento (12.6),ser (12.4),ciento (12.7),año (12.8)
nacional (12.4),gobierno (12.1),gobierno (12.5),presidente (12.7)
ser (12.2),pesos (11.4),ser (12.5),gobierno (12.3)
parte (11.8),dijo (11.2),presidente (11.7),ser (12.2)
año (11.6),parte (11.2),dijo (11.7),según (11.3)
presidente (11.1),nacional (10.8),bogotá (11.0),2 (10.7)
según (10.2),hace (10.0),hace (10.8),parte (10.5)
