1980,1990,2000,2010
años (20.8),años (17.4),años (21.9),años (20.1)
si (20.1),dos (16.5),colombia (15.8),dos (16.3)
ser (17.1),millones (15.1),millones (15.5),colombia (15.3)
dos (16.2),si (14.6),dos (15.4),dijo (14.9)
país (14.9),colombia (13.5),si (15.0),si (14.9)
gobierno (13.8),país (13.5),país (15.0),país (14.9)
colombia (11.7),dijo (13.4),año (14.4),millones (13.3)
sólo (11.4),ciento (13.3),pm (13.4),ser (12.8)
sido (11.2),año (12.5),dijo (12.5),año (12.6)
presidente (11.0),gobierno (12.3),gobierno (12.5),presidente (12.6)
semana (10.8),nacional (12.2),ciento (12.3),gobierno (12.5)
parte (10.7),ser (12.1),ser (12.2),según (11.9)
vez (10.7),parte (11.6),presidente (11.7),parte (10.7)
puede (10.6),pesos (10.6),parte (10.6),bogotá (10.6)
hace (10.5),presidente (10.4),bogotá (10.4),ciento (10.1)
