www.dinero.com,www.eltiempo.com,www.semana.com
millones (31.6),años (19.9),años (21.8)
$ (27.2),dos (16.2),si (18.8)
colombia (23.5),millones (14.7),país (18.0)
año (21.6),si (14.5),colombia (17.4)
país (20.9),colombia (14.0),ser (16.0)
dijo (17.5),país (13.6),dos (15.9)
años (16.7),año (13.3),gobierno (15.7)
mercado (16.4),dijo (13.2),presidente (14.4)
gobierno (16.2),ciento (13.1),semana (13.9)
empresas (16.1),ser (11.8),hace (11.1)
us (14.9),gobierno (11.8),año (10.6)
si (13.6),parte (11.0),parte (10.2)
presidente (13.0),nacional (10.9),sólo (10.1)
parte (12.9),presidente (10.8),millones (9.8)
unidos (12.6),pesos (10.6),sido (9.7)
